Équipe,Mouvement,Joueur,Nationalité,Poste,Âge,Club (Prov/Dest),Lien Joueur
Bayonne,Arrivées,Lasha MACHARASHVILI,Géorgie,Pilier,27 ans,JIFF,https://www.allrugby.com/joueurs/lasha-macharashvili-7300.html
Bayonne,Arrivées,Guillaume CRAMONT,France,Talonneur,25 ans,JIFF,https://www.allrugby.com/joueurs/guillaume-cramont-8140.html
Bayonne,Arrivées,Brian ALAINU'UESE,Samoa,2ème ligne,32 ans,NON JIFF,https://www.allrugby.com/joueurs/brian-alainu-uese-5125.html
Bayonne,Arrivées,Killian GÉRACI,France,2ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/killian-geraci-5314.html
Bayonne,Arrivées,Matthieu UHILA,France,2ème ligne,24 ans,JIFF,https://www.allrugby.com/joueurs/matthieu-uhila-9798.html
Bayonne,Arrivées,Raphaël DARQUIER,France,3ème ligne,21 ans,ESPOIR,https://www.allrugby.com/joueurs/raphael-darquier-15049.html
Bayonne,Arrivées,Léo COLY,France,Mêlée,26 ans,JIFF,https://www.allrugby.com/joueurs/leo-coly-7290.html
Bayonne,Arrivées,Rob DU PREEZ,Afrique du sud,Ouverture,32 ans,NON JIFF,https://www.allrugby.com/joueurs/robert-du-preez-6120.html
Bayonne,Arrivées,Madosh TAMBWE,République démocratique du Congo,Ailier,29 ans,NON JIFF,https://www.allrugby.com/joueurs/michael-tambwe-6795.html
Bayonne,Arrivées,Viliame TUTUVULI,Fidji,Ailier,24 ans,JIFF,https://www.allrugby.com/joueurs/viliame-tutuvuli-13915.html
Bayonne,Départs,Pascal COTET,France,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/pascal-cotet-1906.html
Bayonne,Départs,Vincent GIUDICELLI,France,Talonneur,29 ans,JIFF,https://www.allrugby.com/joueurs/vincent-giudicelli-4847.html
Bayonne,Départs,Alex MOON,Angleterre,2ème ligne,29 ans,NON JIFF,https://www.allrugby.com/joueurs/alex-moon-6201.html
Bayonne,Départs,Álvaro GARCÍA IANDOLINO,Argentine,2ème ligne,20 ans,ESPOIR NON JIFF,https://www.allrugby.com/joueurs/alvaro-garcia-iandolino-17394.html
Bayonne,Départs,Baptiste CHOUZENOUX,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-chouzenoux-2509.html
Bayonne,Départs,Manex ARICETA,Espagne,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/manex-ariceta-12438.html
Bayonne,Départs,Nika LOMIDZE,Géorgie,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/nika-lomidze-15265.html
Bayonne,Départs,Raphaël MARCHESIN,France,3ème ligne,20 ans,ESPOIR,https://www.allrugby.com/joueurs/raphael-marchesin-18338.html
Bayonne,Départs,Maxime MACHENAUD,France,Mêlée,37 ans,JIFF,https://www.allrugby.com/joueurs/maxime-machenaud-1202.html
Bayonne,Départs,Baptiste GERMAIN,France,Mêlée,25 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-germain-7571.html
Bayonne,Départs,Gareth ANSCOMBE,Nouvelle-Zélande,Ouverture,35 ans,NON JIFF,https://www.allrugby.com/joueurs/gareth-anscombe-3354.html
Bayonne,Départs,Reece HODGE,Australie,Centre,31 ans,NON JIFF,https://www.allrugby.com/joueurs/reece-hodge-5007.html
Bayonne,Départs,Victor HANNOUN,France,Ailier,22 ans,JIFF,https://www.allrugby.com/joueurs/victor-hannoun-14460.html
Bayonne,Prolongations,Andy BORDELAI,France,Pilier,26 ans,JIFF,https://www.allrugby.com/joueurs/andy-bordelai-8888.html
Bayonne,Prolongations,Facundo BOSCH,Argentine,Talonneur,34 ans,NON JIFF,https://www.allrugby.com/joueurs/facundo-bosch-5142.html
Bayonne,Prolongations,Arthur ITURRIA,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/arthur-iturria-3366.html
Bayonne,Prolongations,Baptiste TILLOLES,France,Mêlée,19 ans,ESPOIR,https://www.allrugby.com/joueurs/baptiste-tilloles-18994.html
Bayonne,Prolongations,Manu TUILAGI,Samoa,Centre,35 ans,NON JIFF,https://www.allrugby.com/joueurs/manu-tuilagi-2202.html
Bayonne,Prolongations,Guillaume MARTOCQ,France,Centre,26 ans,JIFF,https://www.allrugby.com/joueurs/guillaume-martocq-5844.html
Bayonne,Prolongations,Mateo CARRERAS,Argentine,Ailier,26 ans,NON JIFF,https://www.allrugby.com/joueurs/mateo-carreras-8163.html
Bayonne,Prolongations,Arnaud ERBINARTEGARAY,France,Ailier,25 ans,JIFF,https://www.allrugby.com/joueurs/arnaud-erbinartegaray-9716.html
Bayonne,Prolongations,Tom SPRING,France,Ailier,23 ans,JIFF,https://www.allrugby.com/joueurs/tom-spring-14458.html
Bayonne,Prolongations,Tom LÉVÊQUE,France,Ailier,20 ans,ESPOIR,https://www.allrugby.com/joueurs/tom-leveque-20196.html
Bayonne,Prolongations,Cheikh TIBERGHIEN,France,Arrière,26 ans,JIFF,https://www.allrugby.com/joueurs/cheikh-tiberghien-7315.html
Bayonne,Prolongations,Yohan ORABÉ,France,Arrière,24 ans,JIFF,https://www.allrugby.com/joueurs/yohan-orabe-13645.html
Castres,Arrivées,Alex BURIN,France,Pilier,26 ans,JIFF,https://www.allrugby.com/joueurs/alex-burin-7289.html
Castres,Arrivées,Maël TURPIN,France,Pilier,19 ans,ESPOIR,https://www.allrugby.com/joueurs/mael-turpin-20182.html
Castres,Arrivées,Chris GABRIEL,Nouvelle-Zélande,2ème ligne,26 ans,NON JIFF,https://www.allrugby.com/joueurs/chris-gabriel-15046.html
Castres,Arrivées,Alexey KONNOV,Russie,2ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/alexey-konnov-13461.html
Castres,Arrivées,Hamish WATSON,Angleterre,3ème ligne,34 ans,NON JIFF,https://www.allrugby.com/joueurs/hamish-watson-3055.html
Castres,Arrivées,Dalton PAPALI'I,Nouvelle-Zélande,3ème ligne,28 ans,NON JIFF,https://www.allrugby.com/joueurs/dalton-papali-i-6861.html
Castres,Arrivées,Kyllian RINGUET,France,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/kyllian-ringuet-12276.html
Castres,Arrivées,Théo VIDAL,France,Ouverture,26 ans,JIFF,https://www.allrugby.com/joueurs/theo-vidal-10007.html
Castres,Arrivées,Taylor GONTINEAC,France,Centre,25 ans,JIFF,https://www.allrugby.com/joueurs/taylor-gontineac-9301.html
Castres,Départs,Antoine TICHIT,France,Pilier,37 ans,JIFF,https://www.allrugby.com/joueurs/antoine-tichit-1061.html
Castres,Départs,Aurélien AZAR,France,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/aurelien-azar-4379.html
Castres,Départs,Leone NAKARAWA,Fidji,2ème ligne,38 ans,NON JIFF,https://www.allrugby.com/joueurs/leone-nakarawa-2634.html
Castres,Départs,Romain MACURDY,France,2ème ligne,24 ans,JIFF,https://www.allrugby.com/joueurs/romain-macurdy-8650.html
Castres,Départs,Tyler ARDRON,Canada,3ème ligne,35 ans,NON JIFF,https://www.allrugby.com/joueurs/tyler-ardron-2763.html
Castres,Départs,Pierre POPELIN,France,Ouverture,31 ans,JIFF,https://www.allrugby.com/joueurs/pierre-popelin-4497.html
Castres,Départs,Enzo HERVÉ,France,Ouverture,27 ans,JIFF,https://www.allrugby.com/joueurs/enzo-herve-5599.html
Castres,Départs,Nathanaël HULLEU,France,Ailier,26 ans,JIFF,https://www.allrugby.com/joueurs/nathanael-hulleu-8266.html
Castres,Prolongations,Levan CHILACHAVA,Géorgie,Pilier,34 ans,JIFF,https://www.allrugby.com/joueurs/levan-chilachava-1300.html
Castres,Prolongations,Quentin WALCKER,France,Pilier,30 ans,JIFF,https://www.allrugby.com/joueurs/quentin-walcker-4339.html
Castres,Prolongations,Tom STANIFORTH,Australie,2ème ligne,31 ans,NON JIFF,https://www.allrugby.com/joueurs/thomas-staniforth-6723.html
Castres,Prolongations,Mathieu BABILLOT,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/mathieu-babillot-1353.html
Castres,Prolongations,Baptiste COPE,France,3ème ligne,24 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-cope-11125.html
Castres,Prolongations,Gauthier DOUBRÈRE,France,Mêlée,30 ans,JIFF,https://www.allrugby.com/joueurs/gauthier-doubrere-3460.html
Castres,Prolongations,Colin DUPUY,France,Mêlée,20 ans,ESPOIR,https://www.allrugby.com/joueurs/colin-dupuy-17322.html
Castres,Prolongations,Adrea COCAGI,Fidji,Centre,32 ans,JIFF,https://www.allrugby.com/joueurs/adrea-cocagi-1938.html
Castres,Prolongations,Vilimoni BOTITU,Fidji,Centre,28 ans,NON JIFF,https://www.allrugby.com/joueurs/vilimoni-botitu-9866.html
Castres,Prolongations,Geoffrey PALIS,France,Ailier,35 ans,JIFF,https://www.allrugby.com/joueurs/geoffrey-palis-1351.html
Castres,Prolongations,Christian AMBADIANG,Cameroun,Ailier,27 ans,NON JIFF,https://www.allrugby.com/joueurs/christian-ambadiang-11122.html
Castres,Prolongations,Vuate KARAWALEVU,Fidji,Ailier,25 ans,NON JIFF,https://www.allrugby.com/joueurs/vuate-karawalevu-15858.html
Lyon,Arrivées,Opeti HELU,Tonga,Pilier,27 ans,NON JIFF,https://www.allrugby.com/joueurs/opeti-helu-18728.html
Lyon,Arrivées,Thomas GALLO,Argentine,Pilier,27 ans,NON JIFF,https://www.allrugby.com/joueurs/thomas-gallo-8164.html
Lyon,Arrivées,Tim HOYT,Angleterre,Pilier,23 ans,NON JIFF,https://www.allrugby.com/joueurs/tim-hoyt-12335.html
Lyon,Arrivées,Fousseynou CISSOKHO,France,2ème ligne,21 ans,ESPOIR,https://www.allrugby.com/joueurs/fousseynou-cissokho-14190.html
Lyon,Arrivées,Marvin OKUYA,France,(*),3ème ligne,22 ans,https://www.allrugby.com/joueurs/marvin-okuya-11984.html
Lyon,Arrivées,Sanele NOHAMBA,Afrique du sud,Mêlée,27 ans,NON JIFF,https://www.allrugby.com/joueurs/sanele-nohamba-7519.html
Lyon,Arrivées,Adrien SÉGURET,France,Centre,27 ans,JIFF,https://www.allrugby.com/joueurs/adrien-seguret-5290.html
Lyon,Départs,Cedate GOMES SA,Portugal,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/cedate-gomes-sa-3431.html
Lyon,Départs,Jermaine AINSLEY,Nouvelle-Zélande,Pilier,30 ans,NON JIFF,https://www.allrugby.com/joueurs/jermaine-ainsley-6654.html
Lyon,Départs,Killian GÉRACI,France,2ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/killian-geraci-5314.html
Lyon,Départs,Arno BOTHA,Afrique du sud,3ème ligne,34 ans,NON JIFF,https://www.allrugby.com/joueurs/arno-botha-6204.html
Lyon,Départs,Vincent RATTEZ,France,Ailier,34 ans,JIFF,https://www.allrugby.com/joueurs/vincent-rattez-1466.html
Lyon,Prolongations,Irakli APTSIAURI,Géorgie,Pilier,23 ans,JIFF,https://www.allrugby.com/joueurs/irakli-aptsiauri-11938.html
Lyon,Prolongations,Thomas MARCELINE,France,Talonneur,21 ans,ESPOIR,https://www.allrugby.com/joueurs/thomas-marceline-17046.html
Lyon,Prolongations,Janse ROUX,Afrique du sud,2ème ligne,28 ans,NON JIFF,https://www.allrugby.com/joueurs/janse-roux-5543.html
Lyon,Prolongations,Esteban GONZALEZ,France,Mêlée,20 ans,ESPOIR,https://www.allrugby.com/joueurs/esteban-gonzalez-17045.html
Lyon,Prolongations,Paddy JACKSON,Irlande,Ouverture,34 ans,NON JIFF,https://www.allrugby.com/joueurs/paddy-jackson-2147.html
Lyon,Prolongations,Théo MILLET,France,Centre,29 ans,JIFF,https://www.allrugby.com/joueurs/theo-millet-3587.html
Lyon,Prolongations,Arthur MATHIRON,France,Ailier,23 ans,JIFF,https://www.allrugby.com/joueurs/arthur-mathiron-11787.html
Lyon,Prolongations,Charly MIGNOT,France,Ailier,20 ans,ESPOIR,https://www.allrugby.com/joueurs/charly-mignot-17838.html
La Rochelle,Arrivées,Sione AHIO,Nouvelle-Zélande,Pilier,25 ans,NON JIFF,https://www.allrugby.com/joueurs/sione-ahio-16099.html
La Rochelle,Arrivées,Nathan FRAISSENON,France,Pilier,23 ans,JIFF,https://www.allrugby.com/joueurs/nathan-fraissenon-9993.html
La Rochelle,Arrivées,Salmaan MOERAT,Afrique du sud,2ème ligne,28 ans,NON JIFF,https://www.allrugby.com/joueurs/salmaan-moerat-6800.html
La Rochelle,Arrivées,Thomas ADÉLAÏDE,France,2ème ligne,23 ans,ESPOIR,https://www.allrugby.com/joueurs/thomas-adelaide-14464.html
La Rochelle,Arrivées,Theo MCFARLAND,Samoa,3ème ligne,30 ans,NON JIFF,https://www.allrugby.com/joueurs/theo-mcfarland-10592.html
La Rochelle,Arrivées,Sam TUIFUA,Nouvelle-Zélande,3ème ligne,24 ans,NON JIFF,https://www.allrugby.com/joueurs/sam-tuifua-15961.html
La Rochelle,Arrivées,Christophe LOUSTALOT,France,Mêlée,34 ans,JIFF,https://www.allrugby.com/joueurs/christophe-loustalot-1112.html
La Rochelle,Arrivées,George MOALA,Tonga,Centre,35 ans,NON JIFF,https://www.allrugby.com/joueurs/george-moala-4998.html
La Rochelle,Arrivées,David KRIEL,Afrique du sud,Centre,27 ans,NON JIFF,https://www.allrugby.com/joueurs/david-kriel-8056.html
La Rochelle,Départs,Joel SCLAVI,Argentine,Pilier,32 ans,NON JIFF,https://www.allrugby.com/joueurs/joel-sclavi-4428.html
La Rochelle,Départs,Reda WARDI,France,Pilier,30 ans,JIFF,https://www.allrugby.com/joueurs/reda-wardi-4286.html
La Rochelle,Départs,Gael GALVÁN,Argentine,Pilier,21 ans,ESPOIR NON JIFF,https://www.allrugby.com/joueurs/gael-galvan-17399.html
La Rochelle,Départs,Kane DOUGLAS,Australie,2ème ligne,37 ans,NON JIFF,https://www.allrugby.com/joueurs/kane-douglas-2696.html
La Rochelle,Départs,Ultan DILLANE,Irlande,2ème ligne,32 ans,NON JIFF,https://www.allrugby.com/joueurs/ultan-dillane-4095.html
La Rochelle,Départs,Simon HUCHET,France,2ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/simon-huchet-14766.html
La Rochelle,Départs,Judicaël CANCORIET,France,3ème ligne,30 ans,JIFF,https://www.allrugby.com/joueurs/judicael-cancoriet-2512.html
La Rochelle,Départs,Ihaia WEST,Nouvelle-Zélande,Ouverture,34 ans,NON JIFF,https://www.allrugby.com/joueurs/ihaia-west-5880.html
La Rochelle,Départs,Adrien SÉGURET,France,Centre,27 ans,JIFF,https://www.allrugby.com/joueurs/adrien-seguret-5290.html
La Rochelle,Départs,Suliasi VUNIVALU,Fidji,Ailier,30 ans,NON JIFF,https://www.allrugby.com/joueurs/suliasi-vunivalu-9055.html
La Rochelle,Prolongations,Aleksandre KUNTELIA,Géorgie,Pilier,24 ans,JIFF,https://www.allrugby.com/joueurs/aleksandre-kuntelia-11766.html
La Rochelle,Prolongations,Louis PENVERNE,France,Pilier,23 ans,JIFF,https://www.allrugby.com/joueurs/louis-penverne-12229.html
La Rochelle,Prolongations,Alexandre KADDOURI,France,Pilier,22 ans,ESPOIR,https://www.allrugby.com/joueurs/alexandre-kaddouri-13460.html
La Rochelle,Prolongations,Karl SORIN,France,Pilier,22 ans,JIFF,https://www.allrugby.com/joueurs/karl-sorin-14166.html
La Rochelle,Prolongations,Upaleto FEAO,Tonga,Pilier,21 ans,ESPOIR,https://www.allrugby.com/joueurs/upaleto-feao-17173.html
La Rochelle,Prolongations,Tolu LATU,Tonga,Talonneur,33 ans,NON JIFF,https://www.allrugby.com/joueurs/tolu-latu-5010.html
La Rochelle,Prolongations,Nika SUTIDZE,Géorgie,Talonneur,22 ans,JIFF,https://www.allrugby.com/joueurs/nika-sutidze-13788.html
La Rochelle,Prolongations,Charles KANTÉ-SAMBA,France,2ème ligne,21 ans,ESPOIR,https://www.allrugby.com/joueurs/charles-kante-samba-16880.html
La Rochelle,Prolongations,Kirill FRAINDT,Russie,2ème ligne,19 ans,ESPOIR NON JIFF,https://www.allrugby.com/joueurs/kirill-fraindt-21567.html
La Rochelle,Prolongations,Levani BOTIA,Fidji,3ème ligne,37 ans,NON JIFF,https://www.allrugby.com/joueurs/levani-botia-2213.html
La Rochelle,Prolongations,Andy TIMO,France,3ème ligne,22 ans,JIFF,https://www.allrugby.com/joueurs/andy-timo-13856.html
La Rochelle,Prolongations,Lucas ANDJISSERAMATCHI,France,3ème ligne,20 ans,ESPOIR,https://www.allrugby.com/joueurs/lucas-andjisseramatchi-17859.html
La Rochelle,Prolongations,Nolhann COUILLAUD,France,Mêlée,19 ans,ESPOIR,https://www.allrugby.com/joueurs/nolhann-couillaud-18566.html
La Rochelle,Prolongations,Diego JURD,France,Ouverture,19 ans,ESPOIR,https://www.allrugby.com/joueurs/diego-jurd-17171.html
La Rochelle,Prolongations,Simeli DAUNIVUCU,Fidji,Centre,21 ans,ESPOIR,https://www.allrugby.com/joueurs/simeli-daunivucu-16339.html
La Rochelle,Prolongations,Nathan BOLLENGIER,France,Ailier,22 ans,ESPOIR,https://www.allrugby.com/joueurs/nathan-bollengier-16338.html
Racing 92,Arrivées,Benjamin BOUDOU,France,Talonneur,24 ans,JIFF,https://www.allrugby.com/joueurs/benjamin-boudou-8044.html
Racing 92,Arrivées,Seru URU,Fidji,3ème ligne,29 ans,NON JIFF,https://www.allrugby.com/joueurs/seru-uru-9119.html
Racing 92,Arrivées,Nicolas MARTINS,France,3ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/nicolas-martins-14149.html
Racing 92,Arrivées,Noa ZINZEN,France,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/noa-zinzen-15287.html
Racing 92,Arrivées,Maxime MACHENAUD,France,Mêlée,37 ans,JIFF,https://www.allrugby.com/joueurs/maxime-machenaud-1202.html
Racing 92,Arrivées,Paul COSTES,France,Centre,23 ans,JIFF,https://www.allrugby.com/joueurs/paul-costes-14642.html
Racing 92,Départs,Feleti KAITU'U,Australie,Talonneur,31 ans,NON JIFF,https://www.allrugby.com/joueurs/feleti-kaitu-u-10428.html
Racing 92,Départs,Will ROWLANDS,Angleterre,2ème ligne,34 ans,NON JIFF,https://www.allrugby.com/joueurs/will-rowlands-4079.html
Racing 92,Départs,Kléo LABARBE,France,Mêlée,21 ans,ESPOIR,https://www.allrugby.com/joueurs/kleo-labarbe-17034.html
Racing 92,Départs,Gaël FICKOU,France,Centre,32 ans,JIFF,https://www.allrugby.com/joueurs/gael-fickou-1087.html
Racing 92,Prolongations,Guram GOGICHASHVILI,Géorgie,Pilier,27 ans,JIFF,https://www.allrugby.com/joueurs/guram-gogichashvili-7031.html
Racing 92,Prolongations,Yanis BASSE,France,Talonneur,19 ans,ESPOIR,https://www.allrugby.com/joueurs/yanis-basse-20184.html
Racing 92,Prolongations,Romain TAOFIFENUA,France,2ème ligne,35 ans,JIFF,https://www.allrugby.com/joueurs/romain-taofifenua-1147.html
Racing 92,Prolongations,Soumaila CAMARA,France,3ème ligne,22 ans,JIFF,https://www.allrugby.com/joueurs/soumaila-camara-18375.html
Racing 92,Prolongations,Josua TUISOVA,Fidji,Centre,32 ans,JIFF,https://www.allrugby.com/joueurs/josua-tuisova-1254.html
Racing 92,Prolongations,Wame NAITUVI,Fidji,Ailier,30 ans,NON JIFF,https://www.allrugby.com/joueurs/wame-naituvi-5192.html
Racing 92,Prolongations,Vinaya HABOSI,Fidji,Ailier,26 ans,NON JIFF,https://www.allrugby.com/joueurs/vinaya-habosi-13097.html
Racing 92,Prolongations,Max SPRING,France,Arrière,25 ans,JIFF,https://www.allrugby.com/joueurs/max-spring-7727.html
Montpellier,Arrivées,Reda WARDI,France,Pilier,30 ans,JIFF,https://www.allrugby.com/joueurs/reda-wardi-4286.html
Montpellier,Arrivées,Luca TABAROT,France,Pilier,22 ans,JIFF,https://www.allrugby.com/joueurs/luca-tabarot-12094.html
Montpellier,Arrivées,Ruben VAN HEERDEN,Afrique du sud,2ème ligne,28 ans,NON JIFF,https://www.allrugby.com/joueurs/ruben-van-heerden-6855.html
Montpellier,Arrivées,Maël PERRIN,France,2ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/mael-perrin-16346.html
Montpellier,Arrivées,Sébastien BÉZY,France,Mêlée,34 ans,JIFF,https://www.allrugby.com/joueurs/sebastien-bezy-1091.html
Montpellier,Arrivées,Adam HASTINGS,Ecosse,Ouverture,29 ans,NON JIFF,https://www.allrugby.com/joueurs/adam-hastings-4904.html
Montpellier,Arrivées,Dimitri DELIBES,France,Ailier,27 ans,JIFF,https://www.allrugby.com/joueurs/dimitri-delibes-6053.html
Montpellier,Départs,Enzo FORLETTA,France,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/enzo-forletta-2448.html
Montpellier,Départs,Nika ABULADZE,Géorgie,Pilier,30 ans,NON JIFF,https://www.allrugby.com/joueurs/nika-abuladze-11275.html
Montpellier,Départs,Matthieu UHILA,France,2ème ligne,24 ans,JIFF,https://www.allrugby.com/joueurs/matthieu-uhila-9798.html
Montpellier,Départs,Mahamadou DIABY,France,3ème ligne,35 ans,JIFF,https://www.allrugby.com/joueurs/mahamadou-diaby-1262.html
Montpellier,Départs,Marco TAULEIGNE,France,3ème ligne,32 ans,JIFF,https://www.allrugby.com/joueurs/marco-tauleigne-1398.html
Montpellier,Départs,Léo COLY,France,Mêlée,26 ans,JIFF,https://www.allrugby.com/joueurs/leo-coly-7290.html
Montpellier,Départs,Thomas VINCENT,France,Ouverture,26 ans,JIFF,https://www.allrugby.com/joueurs/thomas-vincent-5905.html
Montpellier,Départs,Thomas DARMON,France,Centre,28 ans,JIFF,https://www.allrugby.com/joueurs/thomas-darmon-5256.html
Montpellier,Prolongations,Wilfrid HOUNKPATIN,France,Pilier,34 ans,JIFF,https://www.allrugby.com/joueurs/wilfrid-hounkpatin-1476.html
Montpellier,Prolongations,Mohamed HAOUAS,France,Pilier,32 ans,JIFF,https://www.allrugby.com/joueurs/mohammed-houas-4681.html
Montpellier,Prolongations,Baptiste ERDOCIO,France,Pilier,26 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-erdocio-8150.html
Montpellier,Prolongations,Christopher TOLOFUA,France,Talonneur,32 ans,JIFF,https://www.allrugby.com/joueurs/christopher-tolofua-1082.html
Montpellier,Prolongations,Lyam AKRAB,France,Talonneur,20 ans,ESPOIR,https://www.allrugby.com/joueurs/lyam-akrab-16341.html
Montpellier,Prolongations,Billy VUNIPOLA,Australie,3ème ligne,33 ans,NON JIFF,https://www.allrugby.com/joueurs/billy-vunipola-2111.html
Montpellier,Prolongations,Lenni NOUCHI,France,3ème ligne,22 ans,ESPOIR,https://www.allrugby.com/joueurs/lenni-nouchi-11986.html
Montpellier,Prolongations,Ali PRICE,Angleterre,Mêlée,33 ans,NON JIFF,https://www.allrugby.com/joueurs/ali-price-2635.html
Montpellier,Prolongations,Domingo MIOTTI,Argentine,Ouverture,30 ans,NON JIFF,https://www.allrugby.com/joueurs/domingo-miotti-7497.html
Montpellier,Prolongations,Auguste CADOT,France,Centre,24 ans,JIFF,https://www.allrugby.com/joueurs/auguste-cadot-8147.html
Montpellier,Prolongations,Justo PICCARDO,Argentine,Centre,24 ans,NON JIFF,https://www.allrugby.com/joueurs/justo-piccardo-18814.html
Montpellier,Prolongations,Gabriel N'GANDEBE,France,Ailier,29 ans,JIFF,https://www.allrugby.com/joueurs/gabriel-n-gandebe-5291.html
Montpellier,Prolongations,Maël MOUSTIN,France,Ailier,23 ans,JIFF,https://www.allrugby.com/joueurs/mael-moustin-9193.html
Montpellier,Prolongations,Tom BANKS,Australie,Arrière,32 ans,NON JIFF,https://www.allrugby.com/joueurs/thomas-banks-6684.html
Pau,Arrivées,Alexandre ETCHEBÉHÈRE,France,Pilier,21 ans,ESPOIR,https://www.allrugby.com/joueurs/alexandre-etchebehere-14270.html
Pau,Arrivées,Baptiste PESENTI,France,2ème ligne,29 ans,JIFF,https://www.allrugby.com/joueurs/baptiste-pesenti-4430.html
Pau,Arrivées,Bastien VERGNES-TAILLEFER,France,3ème ligne,29 ans,JIFF,https://www.allrugby.com/joueurs/bastien-vergnes-taillefer-7192.html
Pau,Arrivées,Santiago GRONDONA,Argentine,3ème ligne,27 ans,NON JIFF,https://www.allrugby.com/joueurs/santiago-grondona-7505.html
Pau,Arrivées,Rémi COUTY,France,3ème ligne,19 ans,ESPOIR,https://www.allrugby.com/joueurs/remi-couty-20755.html
Pau,Arrivées,Gonzalo GARCIA,Argentine,Mêlée,27 ans,NON JIFF,https://www.allrugby.com/joueurs/gonzalo-garcia-8160.html
Pau,Arrivées,Rodrigo MARTA,Portugal,Ailier,26 ans,NON JIFF,https://www.allrugby.com/joueurs/rodrigo-marta-9298.html
Pau,Arrivées,Joachim SENGA KOUO,France,Arrière,18 ans,ESPOIR,https://www.allrugby.com/joueurs/joachim-senga-20312.html
Pau,Départs,Luke WHITELOCK,Nouvelle-Zélande,3ème ligne,35 ans,NON JIFF,https://www.allrugby.com/joueurs/luke-whitelock-5849.html
Pau,Départs,Carwyn TUIPULOTU,Pays-de-Galles,3ème ligne,24 ans,NON JIFF,https://www.allrugby.com/joueurs/carwyn-tuipulotu-10945.html
Pau,Départs,Dan ROBSON,Angleterre,Mêlée,34 ans,NON JIFF,https://www.allrugby.com/joueurs/dan-robson-3143.html
Pau,Départs,Olivier KLEMENCZAK,France,Centre,30 ans,JIFF,https://www.allrugby.com/joueurs/olivier-klemenczak-2477.html
Pau,Départs,Thomas CAROL,France,Ailier,25 ans,JIFF,https://www.allrugby.com/joueurs/thomas-carol-8406.html
Pau,Départs,Toshi BUTLIN,Australie,Ailier,21 ans,ESPOIR,https://www.allrugby.com/joueurs/toshi-butlin-15711.html
Pau,Départs,Aymeric LUC,France,Arrière,28 ans,JIFF,https://www.allrugby.com/joueurs/aymeric-luc-6046.html
Pau,Prolongations,Siate TOKOLAHI,Tonga,Pilier,34 ans,NON JIFF,https://www.allrugby.com/joueurs/siate-tokolahi-6627.html
Pau,Prolongations,Jon ZABALA,Espagne,Pilier,29 ans,JIFF,https://www.allrugby.com/joueurs/jon-zabala-4407.html
Pau,Prolongations,Thomas JOLMÈS,France,2ème ligne,30 ans,JIFF,https://www.allrugby.com/joueurs/thomas-jolmes-4382.html
Pau,Prolongations,Hugo AURADOU,France,2ème ligne,22 ans,JIFF,https://www.allrugby.com/joueurs/hugo-auradou-11782.html
Pau,Prolongations,Reece HEWAT,Australie,3ème ligne,28 ans,JIFF,https://www.allrugby.com/joueurs/reece-hewat-7304.html
Pau,Prolongations,Loïc CRÉDOZ,France,3ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/loic-credoz-8872.html
Pau,Prolongations,Sacha ZEGUEUR,France,3ème ligne,27 ans,JIFF,https://www.allrugby.com/joueurs/sacha-zegueur-5913.html
Pau,Prolongations,Thibault DAUBAGNA,France,Mêlée,32 ans,JIFF,https://www.allrugby.com/joueurs/thibault-daubagna-1515.html
Pau,Prolongations,Thomas SOUVERBIE,France,Mêlée,22 ans,ESPOIR,https://www.allrugby.com/joueurs/thomas-souverbie-14271.html
Pau,Prolongations,Émilien GAILLETON,France,Centre,22 ans,JIFF,https://www.allrugby.com/joueurs/emilien-gailleton-11773.html
Pau,Prolongations,Aaron GRANDIDIER,France,Ailier,26 ans,JIFF,https://www.allrugby.com/joueurs/aaron-grandidier-8316.html
Pau,Prolongations,Théo ATTISSOGBE,France,Ailier,21 ans,ESPOIR,https://www.allrugby.com/joueurs/theo-attissogbe-13652.html
